5.4;3.9;1.3;0.4;Iris-setosa
5.1;3.5;1.4;0.3;Iris-setosa
5.7;3.8;1.7;0.3;Iris-setosa
5.8;2.7;4.1;1.0;Iris-versicolor
6.2;2.2;4.5;1.5;Iris-versicolor
5.6;2.5;3.9;1.1;Iris-versicolor
5.9;3.2;4.8;1.8;Iris-versicolor
6.1;2.8;4.0;1.3;Iris-versicolor
6.3;2.5;4.9;1.5;Iris-versicolor
6.1;2.8;4.7;1.2;Iris-versicolor
6.4;2.9;4.3;1.3;Iris-versicolor
6.6;3.0;4.4;1.4;Iris-versicolor
6.8;2.8;4.8;1.4;Iris-versicolor
6.7;3.0;5.0;1.7;Iris-versicolor
6.0;2.9;4.5;1.5;Iris-versicolor
6.0;3.4;4.5;1.6;Iris-versicolor
6.3;3.3;6.0;2.5;Iris-virginica
5.8;2.7;5.1;1.9;Iris-virginica
7.1;3.0;5.9;2.1;Iris-virginica
6.3;2.9;5.6;1.8;Iris-virginica
