same-lst-two-yrs;scattered;pot-severe;none;w-s-marg;absent;yes;absent;dna;absent;absent
same-lst-sev-yrs;low-areas;minor;fungicide;w-s-marg;absent;yes;absent;dna;absent;absent
same-lst-two-yrs;whole-field;minor;fungicide;w-s-marg;absent;yes;absent;dna;absent;absent
same-lst-sev-yrs;scattered;pot-severe;none;w-s-marg;absent;yes;absent;dna;absent;absent
same-lst-yr;scattered;minor;none;w-s-marg;absent;yes;absent;dna;absent;absent
same-lst-two-yrs;scattered;pot-severe;none;dna;absent;yes;above-sec-nde;brown;present;absent
same-lst-sev-yrs;scattered;pot-severe;none;dna;absent;yes;above-sec-nde;dna;present;absent
same-lst-two-yrs;scattered;pot-severe;fungicide;dna;absent;no;above-sec-nde;brown;present;absent
same-lst-sev-yrs;scattered;pot-severe;none;w-s-marg;absent;yes;absent;dna;absent;absent
same-lst-two-yrs;scattered;pot-severe;none;w-s-marg;absent;yes;absent;dna;absent;absent
