same-lst-two-yrs;whole-field;minor;fungicide;w-s-marg;absent;yes;absent;dna;absent;absent
diff-lst-year;low-areas;minor;none;w-s-marg;absent;yes;above-sec-nde;dna;absent;absent
diff-lst-year;scattered;pot-severe;none;w-s-marg;absent;yes;absent;dna;absent;absent
same-lst-two-yrs;upper-areas;minor;other;w-s-marg;absent;no;above-sec-nde;brown;absent;absent
diff-lst-year;scattered;pot-severe;fungicide;w-s-marg;absent;no;above-soil;brown;absent;absent
same-lst-sev-yrs;scattered;pot-severe;other;w-s-marg;absent;no;above-sec-nde;brown;absent;absent
same-lst-yr;scattered;minor;none;w-s-marg;absent;yes;above-sec-nde;dk-brown-blk;absent;absent
same-lst-two-yrs;low-areas;pot-severe;fungicide;w-s-marg;absent;yes;above-sec-nde;dk-brown-blk;absent;absent
same-lst-sev-yrs;upper-areas;pot-severe;none;w-s-marg;absent;yes;above-sec-nde;dk-brown-blk;absent;absent
same-lst-yr;whole-field;minor;fungicide;w-s-marg;absent;yes;above-sec-nde;dk-brown-blk;absent;absent
