same-lst-two-yrs;scattered;pot-severe;fungicide;dna;absent;no;above-sec-nde;brown;present;absent
same-lst-yr;scattered;pot-severe;none;dna;absent;yes;above-sec-nde;brown;present;absent
same-lst-sev-yrs;scattered;pot-severe;fungicide;dna;absent;yes;above-sec-nde;brown;present;absent
same-lst-two-yrs;scattered;severe;none;dna;absent;yes;above-sec-nde;brown;present;absent
same-lst-yr;whole-field;pot-severe;fungicide;dna;absent;yes;absent;tan;absent;present
same-lst-yr;upper-areas;pot-severe;none;dna;absent;yes;absent;tan;absent;present
same-lst-sev-yrs;whole-field;pot-severe;fungicide;dna;absent;yes;absent;tan;absent;present
same-lst-yr;whole-field;pot-severe;fungicide;dna;absent;yes;absent;tan;absent;present
same-lst-sev-yrs;whole-field;pot-severe;fungicide;dna;absent;yes;absent;tan;absent;present
diff-lst-year;upper-areas;pot-severe;none;dna;absent;no;absent;tan;absent;present
