same-lst-yr;low-areas;minor;fungicide;w-s-marg;absent;yes;above-sec-nde;dk-brown-blk;absent;absent
same-lst-two-yrs;upper-areas;pot-severe;none;w-s-marg;absent;yes;above-sec-nde;dk-brown-blk;absent;absent
same-lst-sev-yrs;whole-field;minor;fungicide;w-s-marg;absent;yes;above-sec-nde;dk-brown-blk;absent;absent
same-lst-yr;scattered;minor;none;w-s-marg;absent;yes;above-sec-nde;dk-brown-blk;absent;absent
same-lst-two-yrs;low-areas;pot-severe;fungicide;w-s-marg;absent;yes;above-sec-nde;dk-brown-blk;absent;absent
same-lst-sev-yrs;whole-field;minor;fungicide;w-s-marg;absent;yes;above-sec-nde;dk-brown-blk;absent;absent
same-lst-yr;scattered;pot-severe;none;w-s-marg;absent;yes;above-sec-nde;dk-brown-blk;absent;absent
same-lst-yr;whole-field;pot-severe;fungicide;dna;absent;yes;absent;tan;absent;present
same-lst-two-yrs;upper-areas;pot-severe;none;dna;absent;yes;absent;tan;absent;present
same-lst-sev-yrs;low-areas;severe;none;dna;absent;yes;below-soil;brown;absent;absent
