same-lst-yr;low-areas;pot-severe;none;dna;absent;no;above-sec-nde;brown;present;absent
same-lst-two-yrs;scattered;severe;fungicide;dna;absent;yes;above-sec-nde;brown;present;absent
same-lst-two-yrs;low-areas;?;?;?;?;?;above-sec-nde;dk-brown-blk;?;absent
same-lst-yr;low-areas;pot-severe;none;dna;absent;yes;below-soil;dk-brown-blk;absent;absent
same-lst-two-yrs;low-areas;severe;fungicide;dna;absent;yes;above-soil;dk-brown-blk;absent;absent
diff-lst-year;low-areas;?;?;dna;absent;?;above-soil;dk-brown-blk;?;absent
same-lst-sev-yrs;scattered;pot-severe;none;w-s-marg;absent;yes;above-sec-nde;brown;absent;absent
same-lst-yr;upper-areas;pot-severe;none;w-s-marg;absent;yes;absent;dna;absent;absent
same-lst-sev-yrs;whole-field;pot-severe;none;w-s-marg;absent;yes;absent;dna;absent;absent
same-lst-two-yrs;low-areas;minor;fungicide;w-s-marg;absent;yes;above-sec-nde;dk-brown-blk;absent;absent
