same-lst-yr;low-areas;severe;none;dna;absent;yes;below-soil;brown;absent;absent
same-lst-yr;low-areas;pot-severe;none;dna;absent;yes;below-soil;dk-brown-blk;absent;absent
same-lst-two-yrs;scattered;pot-severe;none;dna;absent;yes;above-sec-nde;brown;present;absent
same-lst-sev-yrs;scattered;pot-severe;none;dna;absent;yes;above-sec-nde;dna;present;absent
diff-lst-year;low-areas;pot-severe;fungicide;dna;absent;yes;below-soil;brown;absent;absent
same-lst-yr;low-areas;severe;fungicide;dna;absent;yes;below-soil;brown;absent;absent
same-lst-sev-yrs;low-areas;severe;none;dna;absent;yes;below-soil;brown;absent;absent
same-lst-yr;whole-field;pot-severe;fungicide;dna;absent;yes;absent;tan;absent;present
same-lst-yr;low-areas;pot-severe;none;dna;absent;no;above-sec-nde;brown;present;absent
same-lst-two-yrs;scattered;severe;fungicide;dna;absent;yes;above-sec-nde;brown;present;absent
