same-lst-two-yrs;upper-areas;pot-severe;none;dna;absent;yes;absent;tan;absent;present
same-lst-yr;whole-field;pot-severe;fungicide;dna;absent;yes;absent;tan;absent;present
same-lst-yr;whole-field;pot-severe;fungicide;dna;absent;no;absent;tan;absent;present
same-lst-yr;upper-areas;pot-severe;none;dna;absent;yes;absent;tan;absent;present
same-lst-yr;low-areas;severe;none;dna;absent;yes;below-soil;brown;absent;absent
same-lst-sev-yrs;low-areas;severe;none;dna;absent;no;below-soil;brown;absent;absent
diff-lst-year;low-areas;pot-severe;fungicide;dna;absent;yes;below-soil;brown;absent;absent
same-lst-yr;low-areas;severe;fungicide;dna;absent;yes;below-soil;brown;absent;absent
same-lst-sev-yrs;low-areas;severe;none;dna;absent;yes;below-soil;brown;absent;absent
diff-lst-year;low-areas;pot-severe;none;dna;absent;yes;below-soil;brown;absent;absent
