diff-lst-year;upper-areas;pot-severe;none;dna;absent;yes;absent;tan;absent;present
same-lst-two-yrs;upper-areas;pot-severe;none;dna;absent;no;absent;tan;absent;present
diff-lst-year;upper-areas;pot-severe;none;dna;absent;yes;absent;tan;absent;present
same-lst-yr;whole-field;pot-severe;fungicide;dna;absent;yes;absent;tan;absent;present
same-lst-two-yrs;upper-areas;pot-severe;none;dna;absent;yes;absent;tan;absent;present
same-lst-two-yrs;low-areas;pot-severe;none;dna;absent;yes;below-soil;brown;absent;absent
same-lst-sev-yrs;low-areas;severe;none;dna;absent;yes;below-soil;brown;absent;absent
same-lst-two-yrs;low-areas;pot-severe;none;dna;absent;yes;below-soil;brown;absent;absent
diff-lst-year;low-areas;severe;none;dna;absent;no;below-soil;brown;absent;absent
same-lst-yr;low-areas;pot-severe;fungicide;dna;absent;yes;below-soil;brown;absent;absent
